i,j,y,y_new
1,1,3323,3.521530341
1,2,8332,3.920749261
1,3,9572,3.98100269
1,4,10172,4.007406352
1,5,7631,3.882581454
1,6,3855,3.586024382
1,7,3252,3.512150537
1,8,4433,3.646697731
1,9,2188,3.340047318
1,10,333,2.522444234
1,11,199,2.298853076
1,12,692,2.840106094
1,13,311,2.492760389
1,14,0.01,-2
1,15,405,2.607455023
1,16,293,2.46686762
1,17,76,1.880813592
1,18,14,1.146128036
2,1,3785,3.578065884
2,2,10342,4.014604533
2,3,8330,3.920645001
2,4,7849,3.894814329
2,5,2839,3.453165393
2,6,3577,3.55351894
2,7,1404,3.147367108
2,8,1721,3.23578087
2,9,1065,3.027349608
2,10,156,2.193124598
2,11,35,1.544068044
2,12,259,2.413299764
2,13,250,2.397940009
2,14,420,2.62324929
2,15,6,0.77815125
2,16,1,0
2,17,0.01,-2
3,1,4677,3.66996737
3,2,9989,3.999522013
3,3,8746,3.941809473
3,4,10228,4.009790719
3,5,8572,3.933082162
3,6,5787,3.762453482
3,7,3855,3.586024382
3,8,1445,3.159867847
3,9,1612,3.207365037
3,10,626,2.796574333
3,11,1172,3.068927612
3,12,589,2.770115295
3,13,438,2.641474111
3,14,473,2.674861141
3,15,370,2.568201724
3,16,31,1.491361694
4,1,5288,3.723291446
4,2,8089,3.907894835
4,3,12839,4.108531199
4,4,11829,4.072948032
4,5,7560,3.878521796
4,6,6383,3.805024844
4,7,4118,3.614686342
4,8,3016,3.479431337
4,9,1575,3.197280558
4,10,1985,3.297760511
4,11,2645,3.422425676
4,12,266,2.424881637
4,13,38,1.579783597
4,14,45,1.653212514
4,15,115,2.06069784
5,1,2294,3.360593414
5,2,9869,3.994273149
5,3,10242,4.010384771
5,4,13808,4.140130778
5,5,8775,3.943247125
5,6,5419,3.733919151
5,7,2424,3.384532615
5,8,1597,3.203304916
5,9,4149,3.617943435
5,10,1296,3.112605002
5,11,917,2.962369336
5,12,295,2.469822016
5,13,428,2.631443769
5,14,359,2.555094449
6,1,3600,3.556302501
6,2,7514,3.875871191
6,3,8247,3.916295995
6,4,9327,3.969741977
6,5,8584,3.933689709
6,6,4245,3.627877695
6,7,4096,3.612359948
6,8,3216,3.50731604
6,9,2014,3.304059466
6,10,593,2.773054693
6,11,1188,3.074816441
6,12,691,2.839478047
6,13,368,2.565847819
7,1,3642,3.561339941
7,2,7394,3.868879446
7,3,9838,3.992906818
7,4,9733,3.988246723
7,5,6377,3.804616417
7,6,4884,3.688775655
7,7,11920,4.076276255
7,8,4188,3.622006673
7,9,4492,3.652439748
7,10,1760,3.245512668
7,11,944,2.974971994
7,12,921,2.96425963
8,1,2463,3.391464412
8,2,5033,3.70182693
8,3,6980,3.843855423
8,4,7722,3.887729797
8,5,6702,3.826204423
8,6,7834,3.893983567
8,7,5579,3.746556361
8,8,3622,3.558948446
8,9,1300,3.113943352
8,10,3069,3.486996888
8,11,1370,3.136720567
9,1,2267,3.35545152
9,2,5959,3.775173385
9,3,6175,3.790636962
9,4,7051,3.848250715
9,5,8102,3.908592239
9,6,6339,3.802020752
9,7,6978,3.843730965
9,8,4396,3.643057684
9,9,3107,3.492341253
9,10,903,2.95568775
10,1,2009,3.302979937
10,2,3700,3.568201724
10,3,5298,3.724111954
10,4,6885,3.837903945
10,5,6477,3.811373897
10,6,7570,3.87909588
10,7,5855,3.767526899
10,8,5751,3.759743368
10,9,3871,3.587823171
11,1,1860,3.269512944
11,2,5282,3.722798397
11,3,3640,3.561101384
11,4,7538,3.877256133
11,5,5157,3.712397131
11,6,5766,3.760874638
11,7,6862,3.836450714
11,8,2572,3.410270964
12,1,2331,3.367542274
12,2,3517,3.546172368
12,3,5310,3.725094521
12,4,6066,3.782902406
12,5,10149,4.006423253
12,6,9265,3.966845424
12,7,5262,3.721150844
13,1,2314,3.364363355
13,2,4487,3.65195607
13,3,4112,3.614053106
13,4,7000,3.84509804
13,5,11163,4.047780925
13,6,10057,4.00246845
14,1,2607,3.416141031
14,2,3952,3.596816936
14,3,8228,3.915294283
14,4,7895,3.897352134
14,5,9317,3.969276095
15,1,2595,3.414137362
15,2,5403,3.732634968
15,3,6579,3.818159886
15,4,15546,4.191618663
16,1,3155,3.498999364
16,2,4974,3.696705781
16,3,7961,3.900967624
17,1,2626,3.419294722
17,2,5704,3.756179517
18,1,2827,3.451325808
