year,ay,lag,cum,incre,premium
1988,1,0,1376384,1376384,4711333
1988,1,1,2587552,1211168,4711333
1988,1,2,3123435,535883,4711333
1988,1,3,3437225,313790,4711333
1988,1,4,3605367,168142,4711333
1988,1,5,3685339,79972,4711333
1988,1,6,3724574,39235,4711333
1988,1,7,3739604,15030,4711333
1988,1,8,3750469,10865,4711333
1988,1,9,3754555,4086,4711333
1989,2,0,1576278,1576278,5335525
1989,2,1,3013428,1437150,5335525
1989,2,2,3665873,652445,5335525
1989,2,3,4008567,342694,5335525
1989,2,4,4197366,188799,5335525
1989,2,5,4274322,76956,5335525
1989,2,6,4309364,35042,5335525
1989,2,7,4326453,17089,5335525
1989,2,8,4338960,12507,5335525
1990,3,0,1763277,1763277,5947504
1990,3,1,3303508,1540231,5947504
1990,3,2,3982467,678959,5947504
1990,3,3,4346666,364199,5947504
1990,3,4,4523774,177108,5947504
1990,3,5,4601943,78169,5947504
1990,3,6,4649334,47391,5947504
1990,3,7,4674622,25288,5947504
1991,4,0,1779698,1779698,6354197
1991,4,1,3278229,1498531,6354197
1991,4,2,3939630,661401,6354197
1991,4,3,4261064,321434,6354197
1991,4,4,4423642,162578,6354197
1991,4,5,4508223,84581,6354197
1991,4,6,4561672,53449,6354197
1992,5,0,1843224,1843224,6738172
1992,5,1,3416828,1573604,6738172
1992,5,2,4029923,613095,6738172
1992,5,3,4329396,299473,6738172
1992,5,4,4506238,176842,6738172
1992,5,5,4612534,106296,6738172
1993,6,0,1962385,1962385,7079444
1993,6,1,3482683,1520298,7079444
1993,6,2,4064615,581932,7079444
1993,6,3,4412049,347434,7079444
1993,6,4,4650424,238375,7079444
1994,7,0,2033371,2033371,7254832
1994,7,1,3463912,1430541,7254832
1994,7,2,4097412,633500,7254832
1994,7,3,4529669,432257,7254832
1995,8,0,2072061,2072061,7739379
1995,8,1,3530602,1458541,7739379
1995,8,2,4257700,727098,7739379
1996,9,0,2210754,2210754,8154065
1996,9,1,3728255,1517501,8154065
1997,10,0,2206886,2206886,8435918
