事故年,已收保费,进展年,,,,,,,,,
,,0,1,2,3,4,5,6,7,8,9
1988,4711333,1376384,1211168,535883,313790,168142,79972,39235,15030,10865,4086
1989,5335525,1576278,1437150,652445,342694,188799,76956,35042,17089,12507,
1990,5947504,1763277,1540231,678959,364199,177108,78169,47391,25288,,
1991,6354197,1779698,1498531,661401,321434,162578,84581,53449,,,
1992,6738172,1843224,1573604,613095,299473,176842,106296,,,,
1993,7079444,1962385,1520298,581932,347434,238375,,,,,
1994,7254832,2033371,1430541,633500,432257,,,,,,
1995,7739379,2072061,1458541,727098,,,,,,,
1996,8154065,2210754,1517501,,,,,,,,
1997,8435918,2206886,,,,,,,,,
